ts,gfx_mb,gfx_regions,iosurface_mb,guest_blobs,guest_blob_mb,guest_fb,guest_clients,footprint_mb,compressed_mb,balloon_mb,guest_free_mb
21:24:56,1951,7762,356,349,1165,6,9,14085,6323,16517,1456
21:25:12,1938,7638,356,349,1165,6,9,14091,6322,16517,1456
21:25:28,1938,7638,356,349,1165,6,9,14076,6321,16517,1455
21:25:44,1938,7638,356,349,1165,6,9,14061,6320,16533,1444
21:26:00,1938,7638,356,349,1165,6,9,14061,6319,16533,1444
21:26:16,1936,7660,356,349,1165,6,9,14069,6318,16533,1436
21:26:32,1936,7660,356,349,1165,6,9,14071,6318,16533,1437
21:26:48,1936,7660,356,349,1165,6,9,14071,6317,16533,1440
21:27:04,1934,7636,356,349,1165,6,9,14089,6317,16533,1439
21:27:20,1934,7636,356,349,1165,6,9,14073,6316,16533,1435
21:27:36,1934,7636,356,349,1165,6,9,14074,6315,16533,1435
21:27:53,1934,7636,356,349,1165,6,9,14076,6315,16533,1433
21:28:08,1936,7660,356,349,1165,6,9,14098,6314,16533,1432
21:28:24,1956,8076,337,343,1132,6,9,14308,6313,16533,1422
21:28:40,2358,12180,337,340,1136,6,9,14411,6201,16799,1388
21:28:56,1914,7810,337,340,1136,6,9,13754,6200,16799,1400
21:29:12,1897,7642,337,340,1136,6,9,13711,6197,16816,1385
21:29:28,1897,7642,337,340,1136,6,9,13702,6196,16816,1379
21:29:43,1897,7642,337,340,1136,6,9,13703,6196,16816,1376
21:29:59,1897,7642,337,340,1136,6,9,13705,6195,16816,1392
21:30:15,1899,7666,337,340,1136,6,9,13683,6191,16832,1372
21:30:31,1895,7618,337,340,1136,6,9,13696,6191,16832,1372
21:30:47,1895,7618,337,340,1136,6,9,13679,6190,16832,1374
21:31:03,1897,7642,337,340,1136,6,9,13696,6190,16832,1364
21:31:19,1897,7642,337,340,1136,6,9,13685,6189,16832,1359
21:31:35,1897,7642,337,340,1136,6,9,13710,6188,16811,1371
21:31:51,1897,7642,337,340,1136,6,9,13713,6187,16811,1378
21:32:07,1899,7666,337,340,1136,6,9,13734,6187,16811,1379
21:32:23,1899,7666,337,340,1136,6,9,13721,6187,16811,1373
21:32:39,1899,7666,337,340,1136,6,9,13724,6186,16811,1373
21:32:55,1899,7666,337,340,1136,6,9,13724,6186,16811,1382
21:33:11,1897,7642,337,340,1136,6,9,13739,6186,16811,1377
21:33:27,585,3980,328,51,331,6,6,12111,6077,16811,2413
21:33:43,585,3980,328,51,331,6,6,10378,5769,17874,1356
21:33:58,585,3980,328,51,331,6,6,10379,5769,17874,1356
21:34:14,582,3956,328,51,331,6,6,10378,5768,17874,1359
21:34:30,582,3956,328,51,331,6,6,10379,5767,17874,1357
21:34:46,582,3956,328,51,331,6,6,10379,5767,17874,1355
21:35:02,580,3932,328,51,331,6,6,10609,5767,17874,1355
21:35:18,580,3932,328,51,331,6,6,10378,5766,17874,1364
21:35:34,580,3932,328,51,331,6,6,10356,5762,17891,1352
21:35:50,580,3932,328,51,331,6,6,10357,5762,17891,1355
21:36:06,582,3956,328,51,331,6,6,10376,5762,17891,1358
21:36:22,582,3956,328,51,331,6,6,10360,5759,17891,1358
21:36:38,582,3956,328,51,331,6,6,10360,5759,17891,1357
21:36:54,582,3956,328,51,331,6,6,10340,5756,17908,1345
21:37:11,580,3932,328,51,331,6,6,10345,5755,17908,1345
21:37:27,580,3932,328,51,331,6,6,10338,5753,17908,1345
21:37:43,580,3932,328,51,331,6,6,10339,5750,17908,1346
21:37:59,580,3932,328,51,331,6,6,10340,5741,17908,1347
21:38:15,582,3956,328,51,331,6,6,10343,5740,17908,1345
21:38:31,708,4177,328,51,331,6,6,10709,5738,17908,1341
21:38:47,680,4094,328,51,331,6,6,10695,5677,17925,1282
21:39:03,702,4072,328,51,344,6,6,13011,4658,17072,569
21:39:19,716,4074,328,51,344,6,6,15925,3451,15727,532
21:39:35,716,4074,328,51,344,6,6,11670,3347,16126,626
21:39:51,716,4074,328,51,344,6,6,16289,3273,13359,1350
21:40:07,719,4098,328,51,344,6,6,18721,3803,12093,2583
21:40:23,719,4098,328,51,344,6,6,16053,4143,14141,2344
21:40:39,719,4098,328,51,344,6,6,13766,4780,15933,2663
21:40:55,719,4098,328,51,344,6,6,10809,4402,17981,603
21:41:11,721,4122,328,51,344,6,6,10471,4351,18237,543
21:41:27,721,4122,328,51,344,6,6,10446,4330,18237,561
21:41:43,721,4122,328,51,344,6,6,10449,4315,18237,553
21:41:59,721,4122,328,51,344,6,6,10450,4313,18237,551
21:42:14,806,4287,328,51,345,6,6,10741,4218,18237,599
21:42:30,,,,,,,
21:42:45,,,,,,,
21:43:01,,,,,,,
21:43:16,,,,,,,
21:43:32,,,,,,,
21:43:47,,,,,,,
21:44:03,,,,,,,
21:44:19,,,,,,,
21:44:34,,,,,,,
21:44:50,,,,,,,
21:45:05,,,,,,,
21:45:21,,,,,,,
21:45:36,,,,,,,
21:45:52,,,,,,,
21:46:07,,,,,,,
21:46:23,,,,,,,
21:46:38,,,,,,,
21:46:54,,,,,,,
21:47:09,,,,,,,
21:47:25,,,,,,,
21:47:41,,,,,,,
21:47:56,,,,,,,
21:48:12,,,,,,,
21:48:27,,,,,,,
21:48:43,,,,,,,
21:48:58,,,,,,,
21:49:14,,,,,,,
21:49:29,,,,,,,
21:49:45,,,,,,,
21:50:00,,,,,,,
21:50:16,,,,,,,
21:50:31,,,,,,,
21:50:47,,,,,,,
21:51:02,,,,,,,
21:51:18,,,,,,,
21:51:33,,,,,,,
21:51:49,,,,,,,
21:52:04,,,,,,,
21:52:20,,,,,,,
21:52:35,,,,,,,
21:52:51,,,,,,,
21:53:06,,,,,,,
21:53:22,,,,,,,
21:53:37,,,,,,,
21:53:53,,,,,,,
21:54:08,,,,,,,
21:54:24,,,,,,,
