ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout
1786366455041,6036756,5203760,5437752,361248,6036476,0,30,0,6,145,891785,133,767974,303,0,0
1786366455296,6036756,5206440,5440432,361248,6036476,0,30,0,6,145,891785,133,767974,303,0,0
1786366455559,6036756,5206440,5440432,361248,6036476,0,30,0,6,145,891785,133,767974,303,0,0
1786366455814,6036756,5215796,5449788,361248,6036476,0,30,0,6,145,891785,133,767974,303,0,0
1786366456066,6036756,5215796,5449788,361248,6036476,0,30,0,6,145,891785,133,767974,303,0,0
1786366456322,6036756,5221164,5455156,361248,6036476,0,30,0,6,145,891785,133,767974,303,0,0
1786366456574,6036756,5221164,5455156,361248,6036476,0,30,0,6,145,891785,133,767974,303,0,0
1786366456826,6036756,5221164,5455156,361248,6036476,0,30,0,6,119,891785,109,767974,303,0,0
1786366457082,6036756,5221164,5455156,361248,6036476,0,30,0,6,119,891785,109,767974,303,0,0
1786366457339,6036756,5225860,5459852,361248,6036476,0,30,0,6,119,891785,109,767974,303,0,0
1786366457592,6036756,5238496,5472520,361248,6036476,0,30,0,6,119,891785,109,767974,303,0,0
1786366457854,6036756,5238496,5472520,361248,6036476,0,30,0,6,119,891785,109,767974,303,0,0
1786366458111,6036756,5238496,5472520,361248,6036476,0,30,0,6,119,891785,109,767974,303,0,0
1786366458372,6036756,5249124,5483148,361248,6036476,0,30,0,6,119,891785,109,767974,303,0,0
