REAL=1788175822.939203 MONO=1383.822459 RAW=1383.616674 BOOT=1514.483862
REAL=1788175822.959328 MONO=1383.842587 RAW=1383.636799 BOOT=1514.503990
REAL=1788175822.979482 MONO=1383.862741 RAW=1383.656950 BOOT=1514.524145
REAL=1788175822.999616 MONO=1383.882872 RAW=1383.677078 BOOT=1514.544275
REAL=1788175823.019749 MONO=1383.903006 RAW=1383.697209 BOOT=1514.564408
REAL=1788175823.039900 MONO=1383.923160 RAW=1383.717361 BOOT=1514.584564
REAL=1788175823.060049 MONO=1383.943307 RAW=1383.737506 BOOT=1514.604710
REAL=1788175823.080293 MONO=1383.963559 RAW=1383.757756 BOOT=1514.624963
REAL=1788175823.100586 MONO=1383.983866 RAW=1383.778062 BOOT=1514.645272
REAL=1788175823.120888 MONO=1384.004157 RAW=1383.798349 BOOT=1514.665561
REAL=1788175823.141091 MONO=1384.024351 RAW=1383.818540 BOOT=1514.685754
REAL=1788175823.161248 MONO=1384.044506 RAW=1383.838692 BOOT=1514.705908
REAL=1788175823.181397 MONO=1384.064655 RAW=1383.858838 BOOT=1514.726057
REAL=1788175823.201532 MONO=1384.084791 RAW=1383.878971 BOOT=1514.746193
REAL=1788175823.221665 MONO=1384.104924 RAW=1383.899102 BOOT=1514.766326
REAL=1788175823.241811 MONO=1384.125068 RAW=1383.919244 BOOT=1514.786470
REAL=1788175823.261934 MONO=1384.145191 RAW=1383.939364 BOOT=1514.806593
REAL=1788175823.282048 MONO=1384.165303 RAW=1383.959473 BOOT=1514.826705
REAL=1788175823.302159 MONO=1384.185417 RAW=1383.979585 BOOT=1514.846819
REAL=1788175823.322279 MONO=1384.205535 RAW=1383.999700 BOOT=1514.866937
REAL=1788175823.342395 MONO=1384.225650 RAW=1384.019813 BOOT=1514.887052
REAL=1788175823.362540 MONO=1384.245799 RAW=1384.039959 BOOT=1514.907201
REAL=1788175823.382685 MONO=1384.265944 RAW=1384.060102 BOOT=1514.927347
REAL=1788175823.402819 MONO=1384.286075 RAW=1384.080231 BOOT=1514.947477
REAL=1788175823.422943 MONO=1384.306199 RAW=1384.100352 BOOT=1514.967601
REAL=1788175823.443053 MONO=1384.326309 RAW=1384.120459 BOOT=1514.987711
REAL=1788175823.463226 MONO=1384.346483 RAW=1384.140631 BOOT=1515.007885
REAL=1788175823.483362 MONO=1384.366618 RAW=1384.160764 BOOT=1515.028020
REAL=1788175823.503499 MONO=1384.386755 RAW=1384.180898 BOOT=1515.048157
REAL=1788175823.523623 MONO=1384.406882 RAW=1384.201023 BOOT=1515.068284
REAL=1788175823.543743 MONO=1384.426999 RAW=1384.221137 BOOT=1515.088401
REAL=1788175823.563874 MONO=1384.447132 RAW=1384.241267 BOOT=1515.108534
REAL=1788175823.584034 MONO=1384.467291 RAW=1384.261424 BOOT=1515.128693
REAL=1788175823.604151 MONO=1384.487407 RAW=1384.281537 BOOT=1515.148809
REAL=1788175823.624301 MONO=1384.507559 RAW=1384.301687 BOOT=1515.168961
REAL=1788175823.644441 MONO=1384.527699 RAW=1384.321825 BOOT=1515.189101
REAL=1788175823.664564 MONO=1384.547820 RAW=1384.341943 BOOT=1515.209222
REAL=1788175823.684717 MONO=1384.567974 RAW=1384.362094 BOOT=1515.229376
REAL=1788175823.704866 MONO=1384.588127 RAW=1384.382246 BOOT=1515.249530
REAL=1788175823.724989 MONO=1384.608245 RAW=1384.402360 BOOT=1515.269647
REAL=1788175823.745138 MONO=1384.628395 RAW=1384.422508 BOOT=1515.289797
REAL=1788175823.765253 MONO=1384.648509 RAW=1384.442620 BOOT=1515.309911
REAL=1788175823.785386 MONO=1384.668643 RAW=1384.462751 BOOT=1515.330045
REAL=1788175823.805510 MONO=1384.688765 RAW=1384.482871 BOOT=1515.350167
REAL=1788175823.825670 MONO=1384.708926 RAW=1384.503029 BOOT=1515.370328
REAL=1788175823.845824 MONO=1384.729082 RAW=1384.523182 BOOT=1515.390484
REAL=1788175823.865982 MONO=1384.749242 RAW=1384.543340 BOOT=1515.410644
REAL=1788175823.886114 MONO=1384.769372 RAW=1384.563468 BOOT=1515.430774
REAL=1788175823.906255 MONO=1384.789513 RAW=1384.583606 BOOT=1515.450915
REAL=1788175823.926391 MONO=1384.809648 RAW=1384.603739 BOOT=1515.471050
REAL=1788175823.946527 MONO=1384.829786 RAW=1384.623874 BOOT=1515.491188
REAL=1788175823.966659 MONO=1384.849918 RAW=1384.644003 BOOT=1515.511319
REAL=1788175823.986802 MONO=1384.870060 RAW=1384.664143 BOOT=1515.531462
REAL=1788175824.006951 MONO=1384.890210 RAW=1384.684291 BOOT=1515.551612
REAL=1788175824.027102 MONO=1384.910361 RAW=1384.704439 BOOT=1515.571763
REAL=1788175824.047222 MONO=1384.930481 RAW=1384.724558 BOOT=1515.591883
REAL=1788175824.067349 MONO=1384.950608 RAW=1384.744683 BOOT=1515.612011
REAL=1788175824.087496 MONO=1384.970756 RAW=1384.764827 BOOT=1515.632157
REAL=1788175824.107664 MONO=1384.990924 RAW=1384.784994 BOOT=1515.652326
REAL=1788175824.127796 MONO=1385.011055 RAW=1384.805123 BOOT=1515.672458
REAL=1788175824.147931 MONO=1385.031187 RAW=1384.825252 BOOT=1515.692589
REAL=1788175824.168047 MONO=1385.051302 RAW=1384.845364 BOOT=1515.712703
REAL=1788175824.188161 MONO=1385.071416 RAW=1384.865477 BOOT=1515.732818
REAL=1788175824.208272 MONO=1385.091530 RAW=1384.885589 BOOT=1515.752933
REAL=1788175824.228414 MONO=1385.111671 RAW=1384.905727 BOOT=1515.773073
REAL=1788175824.248531 MONO=1385.131788 RAW=1384.925842 BOOT=1515.793190
REAL=1788175824.268646 MONO=1385.151901 RAW=1384.945953 BOOT=1515.813302
REAL=1788175824.288772 MONO=1385.172027 RAW=1384.966077 BOOT=1515.833429
REAL=1788175824.308872 MONO=1385.192132 RAW=1384.986179 BOOT=1515.853534
REAL=1788175824.328992 MONO=1385.212249 RAW=1385.006295 BOOT=1515.873651
REAL=1788175824.349141 MONO=1385.232397 RAW=1385.026440 BOOT=1515.893799
REAL=1788175824.369249 MONO=1385.252506 RAW=1385.046547 BOOT=1515.913908
REAL=1788175824.389382 MONO=1385.272639 RAW=1385.066678 BOOT=1515.934041
REAL=1788175824.409512 MONO=1385.292768 RAW=1385.086805 BOOT=1515.954170
REAL=1788175824.429624 MONO=1385.312881 RAW=1385.106917 BOOT=1515.974284
REAL=1788175824.449754 MONO=1385.333011 RAW=1385.127043 BOOT=1515.994413
REAL=1788175824.469876 MONO=1385.353132 RAW=1385.147162 BOOT=1516.014534
REAL=1788175824.490010 MONO=1385.373268 RAW=1385.167296 BOOT=1516.034670
