ts_ms,ic_balance,ic_credit,ic_debit,phys_footprint
1786395673514,426275504,2183990870,1757715365,4708357898
1786395683533,426275504,2183990870,1757715365,4708357898
1786395693571,426275504,2183990870,1757715365,4708357898
1786395703565,426275504,2183990870,1757715365,4708357898
1786395713577,426275504,2183990870,1757715365,4708357898
1786395723784,426275504,2183990870,1757715365,4708357898
1786395733978,426275504,2183990870,1757715365,4708357898
1786395743984,426275504,2183990870,1757715365,4708357898
1786395753990,426275504,2183990870,1757715365,4708357898
1786395764184,426275504,2183990870,1757715365,4708357898
1786395774376,426275504,2183990870,1757715365,4708357898
1786395784564,425201762,2183990870,1757715365,4708357898
1786395794585,425201762,2183990870,1758789107,4708357898
1786395804601,425201762,2183990870,1758789107,4708357898
1786395814599,425201762,2183990870,1758789107,4708357898
1786395824806,424128020,2183990870,1758789107,4708357898
1786395834823,424128020,2183990870,1759862849,4709431640
1786395844842,423054278,2183990870,1759862849,4709431640
1786395854864,423054278,2183990870,1759862849,4709431640
1786395864894,423054278,2183990870,1759862849,4709431640
1786395874914,423054278,2183990870,1759862849,4709431640
1786395884925,423054278,2183990870,1759862849,4709431640
1786395895111,423054278,2183990870,1759862849,4710505381
1786395905304,423054278,2183990870,1760936591,4710505381
1786395915506,423054278,2183990870,1760936591,4711579123
1786395925511,421980536,2183990870,1760936591,4711579123
1786395935541,421980536,2183990870,1760936591,4711579123
1786395945553,421980536,2183990870,1760936591,4711579123
1786395955560,421980536,2183990870,1760936591,4712652865
1786395965596,421980536,2183990870,1760936591,4712652865
1786395975804,421980536,2183990870,1760936591,4712652865
1786395985989,421980536,2183990870,1760936591,4712652865
1786395996199,421980536,2183990870,1762010333,4712652865
1786396003478,421980536,2183990870,1762010333,4712652865
1786396063635,427349245,2190433320,1762010333,4490388307
1786396125459,406948151,2190433320,1783485169,4391604060
1786396185897,405874409,2190433320,1783485169,4408783929
1786396256095,405874409,2190433320,1784558911,4408783929
1786396266124,405874409,2190433320,1784558911,4408783929
1786396276308,405874409,2190433320,1784558911,4408783929
1786396286509,405874409,2190433320,1784558911,4408783929
1786396296517,405874409,2190433320,1784558911,4408783929
1786396306693,405874409,2190433320,1784558911,4408783929
1786396316868,405874409,2190433320,1784558911,4408783929
1786396326904,405874409,2190433320,1784558911,4408783929
1786396336939,405874409,2190433320,1784558911,4408783929
1786396347104,405874409,2190433320,1784558911,4408783929
1786396357111,405874409,2190433320,1784558911,4408783929
1786396367186,405874409,2190433320,1784558911,4408783929
1786396377215,405874409,2190433320,1784558911,4408783929
1786396387213,405874409,2190433320,1784558911,4408783929
1786396397256,405874409,2190433320,1784558911,4408783929
1786396407249,354334801,2190433320,1836098519,4559107784
1786396417462,353261060,2190433320,1837172260,4559107784
1786396427626,352187318,2190433320,1838246002,4559107784
1786396437819,348966092,2190433320,1841467228,4563402752
1786396447864,347892350,2190433320,1842540969,4563402752
1786396458062,347892350,2190433320,1842540969,4563402752
1786396468251,347892350,2190433320,1842540969,4563402752
1786396478404,346818609,2190433320,1842540969,4563402752
1786396488603,346818609,2190433320,1843614711,4563402752
1786396498789,346818609,2190433320,1843614711,4563402752
1786396508962,345744867,2190433320,1844688453,4564476493
1786396519158,344671125,2190433320,1845762195,4575213912
1786396529176,343597383,2190433320,1845762195,4575213912
1786396539176,342523641,2190433320,1846835937,4577361395
1786396549379,342523641,2190433320,1846835937,4577361395
1786396559566,342523641,2190433320,1847909679,4577361395
1786396569571,342523641,2190433320,1847909679,4577361395
1786396579599,341449900,2190433320,1847909679,4578435137
1786396589614,341449900,2190433320,1847909679,4578435137
1786396599821,341449900,2190433320,1847909679,4578435137
1786396606291,341449900,2190433320,1848983420,4578435137
1786396666316,452045307,2302102470,1851130904,4573066428
1786396728284,431644213,2303176212,1871531999,4581656363
1786396788850,428422987,2303176212,1874753224,4588098813
1786396858911,428422987,2303176212,1874753224,4589172555
1786396868927,428422987,2303176212,1874753224,4590246297
1786396879123,428422987,2303176212,1874753224,4590246297
1786396889310,428422987,2303176212,1874753224,4591320039
1786396899313,428422987,2303176212,1874753224,4591320039
1786396909331,428422987,2303176212,1874753224,4591320039
1786396919350,428422987,2303176212,1874753224,4591320039
1786396929525,428422987,2303176212,1874753224,4591320039
1786396939586,428422987,2303176212,1874753224,4591320039
1786396949586,428422987,2303176212,1874753224,4591320039
1786396959623,428422987,2303176212,1874753224,4591320039
1786396969669,428422987,2303176212,1874753224,4591320039
1786396979700,428422987,2303176212,1874753224,4591320039
1786396989724,428422987,2303176212,1874753224,4591320039
1786396999744,428422987,2303176212,1874753224,4591320039
1786397009755,428422987,2303176212,1874753224,4591320039
1786397019951,428422987,2303176212,1874753224,4591320039
1786397030150,428422987,2303176212,1874753224,4591320039
1786397040174,428422987,2303176212,1874753224,4591320039
1786397050368,428422987,2303176212,1874753224,4591320039
1786397060552,428422987,2303176212,1874753224,4591320039
1786397070730,428422987,2303176212,1874753224,4591320039
1786397080753,428422987,2303176212,1874753224,4591320039
1786397090756,428422987,2303176212,1874753224,4591320039
1786397100802,428422987,2303176212,1874753224,4591320039
1786397110832,428422987,2303176212,1874753224,4591320039
1786397120855,428422987,2303176212,1874753224,4591320039
1786397131055,428422987,2303176212,1874753224,4591320039
1786397141117,428422987,2303176212,1874753224,4591320039
1786397151135,428422987,2303176212,1874753224,4591320039
1786397161148,458487758,2334314725,1874753224,4592393781
1786397171170,460635242,2335388467,1874753224,4593467523
1786397181372,460635242,2335388467,1874753224,4593467523
1786397191372,460635242,2335388467,1874753224,4593467523
1786397201548,460635242,2335388467,1874753224,4593467523
1786397209054,460635242,2335388467,1874753224,4593467523
1786397269202,500363689,2377264398,1876900708,4697620480
1786397330884,534723428,2478196129,1942398959,4833985691
